transaction_id,sender_id,receiver_id,amount,timestamp
TXN000001,ACC_CYCLE_1_1,ACC_CYCLE_1_2,5000.0,2026-01-01 05:00:00
TXN000002,ACC_CYCLE_1_2,ACC_CYCLE_1_3,4900.0,2026-01-01 06:00:00
TXN000003,ACC_CYCLE_1_3,ACC_CYCLE_1_4,4800.0,2026-01-01 07:00:00
TXN000004,ACC_CYCLE_1_4,ACC_CYCLE_1_1,4700.0,2026-01-01 08:00:00
TXN000005,ACC_CYCLE_2_1,ACC_CYCLE_2_2,5000.0,2026-01-01 10:00:00
TXN000006,ACC_CYCLE_2_2,ACC_CYCLE_2_3,4900.0,2026-01-01 11:00:00
TXN000007,ACC_CYCLE_2_3,ACC_CYCLE_2_4,4800.0,2026-01-01 12:00:00
TXN000008,ACC_CYCLE_2_4,ACC_CYCLE_2_1,4700.0,2026-01-01 13:00:00
TXN000009,ACC_CYCLE_3_1,ACC_CYCLE_3_2,5000.0,2026-01-01 15:00:00
TXN000010,ACC_CYCLE_3_2,ACC_CYCLE_3_3,4900.0,2026-01-01 16:00:00
TXN000011,ACC_CYCLE_3_3,ACC_CYCLE_3_4,4800.0,2026-01-01 17:00:00
TXN000012,ACC_CYCLE_3_4,ACC_CYCLE_3_1,4700.0,2026-01-01 18:00:00
TXN000013,ACC_CYCLE_4_1,ACC_CYCLE_4_2,5000.0,2026-01-01 20:00:00
TXN000014,ACC_CYCLE_4_2,ACC_CYCLE_4_3,4900.0,2026-01-01 21:00:00
TXN000015,ACC_CYCLE_4_3,ACC_CYCLE_4_4,4800.0,2026-01-01 22:00:00
TXN000016,ACC_CYCLE_4_4,ACC_CYCLE_4_1,4700.0,2026-01-01 23:00:00
TXN000017,ACC_CYCLE_5_1,ACC_CYCLE_5_2,5000.0,2026-01-02 01:00:00
TXN000018,ACC_CYCLE_5_2,ACC_CYCLE_5_3,4900.0,2026-01-02 02:00:00
TXN000019,ACC_CYCLE_5_3,ACC_CYCLE_5_4,4800.0,2026-01-02 03:00:00
TXN000020,ACC_CYCLE_5_4,ACC_CYCLE_5_1,4700.0,2026-01-02 04:00:00
TXN000021,ACC_CYCLE_6_1,ACC_CYCLE_6_2,5000.0,2026-01-02 06:00:00
TXN000022,ACC_CYCLE_6_2,ACC_CYCLE_6_3,4900.0,2026-01-02 07:00:00
TXN000023,ACC_CYCLE_6_3,ACC_CYCLE_6_4,4800.0,2026-01-02 08:00:00
TXN000024,ACC_CYCLE_6_4,ACC_CYCLE_6_1,4700.0,2026-01-02 09:00:00
TXN000025,ACC_CYCLE_7_1,ACC_CYCLE_7_2,5000.0,2026-01-02 11:00:00
TXN000026,ACC_CYCLE_7_2,ACC_CYCLE_7_3,4900.0,2026-01-02 12:00:00
TXN000027,ACC_CYCLE_7_3,ACC_CYCLE_7_4,4800.0,2026-01-02 13:00:00
TXN000028,ACC_CYCLE_7_4,ACC_CYCLE_7_1,4700.0,2026-01-02 14:00:00
TXN000029,ACC_CYCLE_8_1,ACC_CYCLE_8_2,5000.0,2026-01-02 16:00:00
TXN000030,ACC_CYCLE_8_2,ACC_CYCLE_8_3,4900.0,2026-01-02 17:00:00
TXN000031,ACC_CYCLE_8_3,ACC_CYCLE_8_4,4800.0,2026-01-02 18:00:00
TXN000032,ACC_CYCLE_8_4,ACC_CYCLE_8_1,4700.0,2026-01-02 19:00:00
TXN000033,ACC_CYCLE_9_1,ACC_CYCLE_9_2,5000.0,2026-01-02 21:00:00
TXN000034,ACC_CYCLE_9_2,ACC_CYCLE_9_3,4900.0,2026-01-02 22:00:00
TXN000035,ACC_CYCLE_9_3,ACC_CYCLE_9_4,4800.0,2026-01-02 23:00:00
TXN000036,ACC_CYCLE_9_4,ACC_CYCLE_9_1,4700.0,2026-01-03 00:00:00
TXN000037,ACC_CYCLE_10_1,ACC_CYCLE_10_2,5000.0,2026-01-03 02:00:00
TXN000038,ACC_CYCLE_10_2,ACC_CYCLE_10_3,4900.0,2026-01-03 03:00:00
TXN000039,ACC_CYCLE_10_3,ACC_CYCLE_10_4,4800.0,2026-01-03 04:00:00
TXN000040,ACC_CYCLE_10_4,ACC_CYCLE_10_1,4700.0,2026-01-03 05:00:00
TXN000041,ACC_CYCLE_11_1,ACC_CYCLE_11_2,5000.0,2026-01-03 07:00:00
TXN000042,ACC_CYCLE_11_2,ACC_CYCLE_11_3,4900.0,2026-01-03 08:00:00
TXN000043,ACC_CYCLE_11_3,ACC_CYCLE_11_4,4800.0,2026-01-03 09:00:00
TXN000044,ACC_CYCLE_11_4,ACC_CYCLE_11_1,4700.0,2026-01-03 10:00:00
TXN000045,ACC_CYCLE_12_1,ACC_CYCLE_12_2,5000.0,2026-01-03 12:00:00
TXN000046,ACC_CYCLE_12_2,ACC_CYCLE_12_3,4900.0,2026-01-03 13:00:00
TXN000047,ACC_CYCLE_12_3,ACC_CYCLE_12_4,4800.0,2026-01-03 14:00:00
TXN000048,ACC_CYCLE_12_4,ACC_CYCLE_12_1,4700.0,2026-01-03 15:00:00
TXN000049,ACC_CYCLE_13_1,ACC_CYCLE_13_2,5000.0,2026-01-03 17:00:00
TXN000050,ACC_CYCLE_13_2,ACC_CYCLE_13_3,4900.0,2026-01-03 18:00:00
TXN000051,ACC_CYCLE_13_3,ACC_CYCLE_13_4,4800.0,2026-01-03 19:00:00
TXN000052,ACC_CYCLE_13_4,ACC_CYCLE_13_1,4700.0,2026-01-03 20:00:00
TXN000053,ACC_CYCLE_14_1,ACC_CYCLE_14_2,5000.0,2026-01-03 22:00:00
TXN000054,ACC_CYCLE_14_2,ACC_CYCLE_14_3,4900.0,2026-01-03 23:00:00
TXN000055,ACC_CYCLE_14_3,ACC_CYCLE_14_4,4800.0,2026-01-04 00:00:00
TXN000056,ACC_CYCLE_14_4,ACC_CYCLE_14_1,4700.0,2026-01-04 01:00:00
TXN000057,ACC_CYCLE_15_1,ACC_CYCLE_15_2,5000.0,2026-01-04 03:00:00
TXN000058,ACC_CYCLE_15_2,ACC_CYCLE_15_3,4900.0,2026-01-04 04:00:00
TXN000059,ACC_CYCLE_15_3,ACC_CYCLE_15_4,4800.0,2026-01-04 05:00:00
TXN000060,ACC_CYCLE_15_4,ACC_CYCLE_15_1,4700.0,2026-01-04 06:00:00
TXN000061,ACC_CYCLE_16_1,ACC_CYCLE_16_2,5000.0,2026-01-04 08:00:00
TXN000062,ACC_CYCLE_16_2,ACC_CYCLE_16_3,4900.0,2026-01-04 09:00:00
TXN000063,ACC_CYCLE_16_3,ACC_CYCLE_16_4,4800.0,2026-01-04 10:00:00
TXN000064,ACC_CYCLE_16_4,ACC_CYCLE_16_1,4700.0,2026-01-04 11:00:00
